Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Drop_timestamp,Delivery_Time,Request_Weekday,Delivery_Time_Min
619,Airport,1,Trip Completed,11/7/2016 11:51,11/7/2016 13:00,1:09:00,Monday,69.00
867,Airport,1,Trip Completed,11/7/2016 17:57,11/7/2016 18:47,0:50:00,Monday,50.00
1807,City,1,Trip Completed,12/7/2016 9:17,12/7/2016 9:58,0:41:00,Wednesday,41.00
2532,Airport,1,Trip Completed,12/7/2016 21:08,12/8/2016 9:58,12:50:00,Wednesday,770.00
3112,City,1,Trip Completed,7/13/2016 8:33,12/9/2016 9:58,1:24:44,Wednesday,84.73
3879,Airport,1,Trip Completed,7/13/2016 21:57,12/10/2016 9:58,12:00:32,Wednesday,720.53
4270,Airport,1,Trip Completed,7/14/2016 6:15,7/14/2016 7:13,0:57:43,Thursday,57.72
5510,Airport,1,Trip Completed,7/15/2016 5:11,7/15/2016 6:07,0:56:00,Friday,56.00
6248,City,1,Trip Completed,7/15/2016 17:57,7/15/2016 18:50,0:53:24,Friday,53.40
267,City,2,Trip Completed,11/7/2016 6:46,11/7/2016 7:25,0:39:00,Monday,39.00
1467,Airport,2,Trip Completed,12/7/2016 5:08,12/7/2016 6:02,0:54:00,Wednesday,54.00
1983,City,2,Trip Completed,12/7/2016 12:30,12/7/2016 12:57,0:27:00,Wednesday,27.00
2784,Airport,2,Trip Completed,7/13/2016 4:49,7/13/2016 5:23,0:33:43,Wednesday,33.72
3075,City,2,Trip Completed,7/13/2016 8:02,7/13/2016 9:16,1:13:26,Wednesday,73.43
3379,City,2,Trip Completed,7/13/2016 14:23,7/13/2016 15:35,1:12:16,Wednesday,72.27
3482,Airport,2,Trip Completed,7/13/2016 17:23,7/13/2016 18:20,0:57:33,Wednesday,57.55
4652,City,2,Trip Completed,7/14/2016 12:01,7/14/2016 12:36,0:35:44,Thursday,35.73
5335,Airport,2,Trip Completed,7/14/2016 22:24,7/14/2016 23:18,0:54:39,Thursday,54.65
535,Airport,3,Trip Completed,11/7/2016 10:00,11/7/2016 10:31,0:31:00,Monday,31.00
960,Airport,3,Trip Completed,11/7/2016 18:45,11/7/2016 19:23,0:38:00,Monday,38.00
1934,Airport,3,Trip Completed,12/7/2016 11:17,12/7/2016 12:23,1:06:00,Wednesday,66.00
2083,Airport,3,Trip Completed,12/7/2016 15:46,12/7/2016 16:40,0:54:00,Wednesday,54.00
2211,Airport,3,Trip Completed,12/7/2016 18:00,12/7/2016 18:28,0:28:00,Wednesday,28.00
3096,Airport,3,Trip Completed,7/13/2016 8:17,7/13/2016 9:22,1:05:08,Wednesday,65.13
3881,Airport,3,Trip Completed,7/13/2016 21:54,7/13/2016 22:51,0:57:05,Wednesday,57.08
5254,City,3,Trip Completed,7/14/2016 21:23,7/14/2016 22:25,1:02:16,Thursday,62.27
5434,City,3,Trip Completed,7/15/2016 2:41,7/15/2016 3:24,0:43:05,Friday,43.08
5916,City,3,Trip Completed,7/15/2016 10:00,7/15/2016 10:53,0:52:23,Friday,52.38
669,City,4,Trip Completed,11/7/2016 13:08,11/7/2016 13:49,0:41:00,Monday,41.00
1567,Airport,4,Trip Completed,12/7/2016 6:21,12/7/2016 7:10,0:49:00,Wednesday,49.00
1826,City,4,Trip Completed,12/7/2016 9:27,12/7/2016 10:27,1:00:00,Wednesday,60.00
2102,City,4,Trip Completed,12/7/2016 16:09,12/7/2016 17:01,0:52:00,Wednesday,52.00
2847,Airport,4,Trip Completed,7/13/2016 5:34,7/13/2016 6:09,0:35:39,Wednesday,35.65
3722,Airport,4,Trip Completed,7/13/2016 19:57,7/13/2016 20:32,0:34:05,Wednesday,34.08
4075,City,4,Trip Completed,7/14/2016 2:17,7/14/2016 3:21,1:04:03,Thursday,64.05
4686,City,4,Trip Completed,7/14/2016 13:01,7/14/2016 13:45,0:44:18,Thursday,44.30
5771,Airport,4,Trip Completed,7/15/2016 8:30,7/15/2016 9:37,1:07:14,Friday,67.23
6106,Airport,4,Trip Completed,7/15/2016 15:01,7/15/2016 15:47,0:46:11,Friday,46.18
312,City,5,Trip Completed,11/7/2016 7:27,11/7/2016 8:31,1:04:00,Monday,64.00
577,Airport,5,Trip Completed,11/7/2016 11:03,11/7/2016 12:01,0:58:00,Monday,58.00
1179,City,5,Trip Completed,11/7/2016 20:58,11/7/2016 21:45,0:47:00,Monday,47.00
1756,Airport,5,Trip Completed,12/7/2016 8:40,12/7/2016 9:23,0:43:00,Wednesday,43.00
2052,City,5,Trip Completed,12/7/2016 14:48,12/7/2016 15:50,1:02:00,Wednesday,62.00
2559,City,5,Trip Completed,12/7/2016 21:32,12/7/2016 22:29,0:57:00,Wednesday,57.00
3014,City,5,Trip Completed,7/13/2016 7:28,7/13/2016 8:29,1:01:33,Wednesday,61.55
