Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Delivery_Time,Request_Weekday,
619,Airport,1,Trip Completed,11/7/2016 11:51,11/7/2016 13:00,01:09:00,Monday,
867,Airport,1,Trip Completed,11/7/2016 17:57,11/7/2016 18:47,00:50:00,Monday,
1807,City,1,Trip Completed,12/7/2016 9:17,12/7/2016 9:58,00:41:00,Wednesday,
2532,Airport,1,Trip Completed,12/7/2016 21:08,12/8/2016 9:58,12:50:00,Wednesday,
3112,City,1,Trip Completed,7/13/2016 8:33,12/9/2016 9:58,01:24:44,Wednesday,
3879,Airport,1,Trip Completed,7/13/2016 21:57,12/10/2016 9:58,12:00:32,Wednesday,
4270,Airport,1,Trip Completed,7/14/2016 6:15,7/14/2016 7:13,00:57:43,Thursday,
5510,Airport,1,Trip Completed,7/15/2016 5:11,7/15/2016 6:07,00:56:00,Friday,
6248,City,1,Trip Completed,7/15/2016 17:57,7/15/2016 18:50,00:53:24,Friday,
267,City,2,Trip Completed,11/7/2016 6:46,11/7/2016 7:25,00:39:00,Monday,
1467,Airport,2,Trip Completed,12/7/2016 5:08,12/7/2016 6:02,00:54:00,Wednesday,
1983,City,2,Trip Completed,12/7/2016 12:30,12/7/2016 12:57,00:27:00,Wednesday,
2784,Airport,2,Trip Completed,7/13/2016 4:49,7/13/2016 5:23,00:33:43,Wednesday,
3075,City,2,Trip Completed,7/13/2016 8:02,7/13/2016 9:16,01:13:26,Wednesday,
3379,City,2,Trip Completed,7/13/2016 14:23,7/13/2016 15:35,01:12:16,Wednesday,
3482,Airport,2,Trip Completed,7/13/2016 17:23,7/13/2016 18:20,00:57:33,Wednesday,
4652,City,2,Trip Completed,7/14/2016 12:01,7/14/2016 12:36,00:35:44,Thursday,
5335,Airport,2,Trip Completed,7/14/2016 22:24,7/14/2016 23:18,00:54:39,Thursday,
535,Airport,3,Trip Completed,11/7/2016 10:00,11/7/2016 10:31,00:31:00,Monday,
960,Airport,3,Trip Completed,11/7/2016 18:45,11/7/2016 19:23,00:38:00,Monday,
1934,Airport,3,Trip Completed,12/7/2016 11:17,12/7/2016 12:23,01:06:00,Wednesday,
2083,Airport,3,Trip Completed,12/7/2016 15:46,12/7/2016 16:40,00:54:00,Wednesday,
2211,Airport,3,Trip Completed,12/7/2016 18:00,12/7/2016 18:28,00:28:00,Wednesday,
3096,Airport,3,Trip Completed,7/13/2016 8:17,7/13/2016 9:22,01:05:08,Wednesday,
